Date,Bajaj Open,Bajaj High,Bajaj Low,Bajaj Close,Bajaj Adj Close,Bajaj Volume
11/10/2021,7545,7610,7505,7581.450195,7553.945313,464989
11/9/2021,7700,7754.399902,7550,7577.5,7550.009766,800247
11/8/2021,7543.899902,7713.149902,7486,7673.649902,7645.810547,900301
11/4/2021,7561,7569,7515,7525.100098,7497.799805,94033
11/3/2021,7486,7538.799805,7451,7516.25,7488.981934,668704
11/2/2021,7466.700195,7555,7400.25,7455.350098,7428.302734,687116
11/1/2021,7430,7500.200195,7220,7413.950195,7387.053223,1037314
10/29/2021,7480,7549.700195,7313.049805,7400.200195,7373.353027,948334
10/28/2021,7540,7596,7353.399902,7484.25,7457.098145,1572302
10/27/2021,7870,7919.950195,7461,7482.149902,7455.005371,3112233
10/26/2021,7695,7894.950195,7651.100098,7855.649902,7827.150391,1660575
10/25/2021,7750,7837.75,7350.5,7646.649902,7618.908691,1169729
10/22/2021,7756,7935,7665,7710.200195,7682.228516,1517376
10/21/2021,7830,7830,7685,7737.299805,7709.229492,639461
10/20/2021,7741,7833.549805,7575,7761.350098,7733.192871,1102899
10/19/2021,7890,7914.700195,7671,7739.299805,7711.222656,1244989
10/18/2021,8050,8050,7800.799805,7865.549805,7837.014648,855098
10/14/2021,7969,7969,7812.350098,7862.899902,7834.374023,1134849
10/13/2021,7907.899902,8010,7861.299805,7929.299805,7900.533203,1052438
10/12/2021,7810,7925,7750,7855.75,7827.25,1099449
10/11/2021,7773.899902,7904.399902,7752,7817.100098,7788.740234,908648
10/8/2021,7750,7829,7712,7732.200195,7704.148438,756571
10/7/2021,7845.899902,7885,7738,7747.899902,7719.791504,940550
10/6/2021,7810,7880.600098,7685,7735.149902,7707.087402,1764631
10/5/2021,7683,7765,7634.100098,7724.200195,7696.177734,773243
10/4/2021,7588,7769,7560.149902,7695.049805,7667.132813,1090198
10/1/2021,7620,7639.200195,7475,7522.75,7495.458008,937740
9/30/2021,7545,7700,7490.899902,7668.100098,7640.28125,1490707
9/29/2021,7529,7635.850098,7456.149902,7515.399902,7488.134766,945879
9/28/2021,7815,7825,7425.049805,7543.299805,7515.933594,1572301
9/27/2021,7849,7860,7740.049805,7795.450195,7767.168945,650774
9/24/2021,7949.850098,7949.850098,7725.649902,7793.399902,7765.126465,1129346
